name,value,year,lastValue,rank,
CHEM,19,2016.01,19,3,
ENG,45,2016.01,45,1,
SCI,28,2016.01,28,2,
ENG,187,2016.03,28,1,
SCI,129,2016.03,187,2,
SCI,881,2016.04,129,1,
CHEM,53,2016.05,19,2,
SCI,1881,2016.05,53,1,
ARTS,53,2016.06,53,3,
BIZ,316,2016.06,316,1,
ELEC,65,2016.06,65,2,
ENG,289,2016.07,65,1,
CHEM,149,2016.08,289,2,
ENG,300,2016.08,149,1,
Language Centre,34,2016.08,34,3,
ELEC,125,2016.09,34,3,
Language Centre,314,2016.09,125,2,
SCI,2843,2016.09,314,1,
ARTS,123,2017.00,53,1,
ARTS,154,2017.01,123,3,
ELEC,355,2017.01,154,2,
Language Centre,468,2017.01,355,1,
SCI,5631,2017.02,468,1,
BIZ,611,2017.03,316,2,
ELEC,909,2017.03,611,1,
SCI,5725,2017.03,909,1,
ENG,852,2017.04,5725,1,
ARTS,200,2017.05,154,3,
CHEM,164,2017.05,200,2,
ENG,994,2017.05,164,1,
ARTS,236,2017.06,200,4,
ELEC,939,2017.06,236,3,
Language Centre,4208,2017.06,939,2,
SCI,6568,2017.06,4208,1,
ARTS,276,2017.07,236,2,
Language Centre,4351,2017.07,276,1,
ARTS,312,2017.08,276,4,
BIZ,661,2017.08,611,3,
ENG,1399,2017.08,661,2,
Language Centre,4401,2017.08,1399,1,
ENG,1442,2017.09,4401,3,
Language Centre,4421,2017.09,1442,2,
SCI,6620,2017.09,4421,1,
ARTS,332,2018.00,312,2,
BIZ,691,2018.00,661,1,
BIZ,771,2018.01,691,4,
ELEC,1759,2018.01,771,3,
Language Centre,4446,2018.01,1759,2,
SCI,7220,2018.01,4446,1,
BIZ,1096,2018.02,771,1,
CHEM,464,2018.03,1096,2,
ELEC,1839,2018.03,464,1,
BIZ,1171,2018.04,1096,3,
ELEC,1874,2018.04,1171,1,
ENG,1617,2018.04,1874,2,
ARTS,402,2018.05,332,3,
BIZ,1271,2018.05,1171,2,
ELEC,1964,2018.05,1271,1,
BIZ,1341,2018.06,1271,3,
ELEC,2154,2018.06,1341,1,
ENG,2067,2018.06,2154,2,
BIZ,1391,2018.07,1341,3,
ELEC,2344,2018.07,1391,2,
SCI,7585,2018.07,2344,1,
BIZ,1451,2018.08,1391,3,
CHEM,1197,2018.08,1451,4,
ELEC,2430,2018.08,1197,2,
Language Centre,4521,2018.08,2430,1,
ENG,2317,2018.09,4521,2,
Language Centre,4581,2018.09,2317,1,
ARTS,522,2019.00,402,2,
BIZ,1531,2019.00,1451,1,
ARTS,522,2019.01,522,3,
BIZ,1881,2019.01,1531,1,
CHEM,1209,2019.01,1881,2,
CHEM,1509,2019.02,1209,1,
